from,to
Age_group,Gender
MaritalStatus,Gender
Ethnicity,Gender
Race,Gender
Religion,Gender
CombatFlag,Gender
AgentOrangeFlag,Gender
IonizingRadiationFlag,Gender
SWAsiaConditionsFlag,Gender
MilitarySexualTraumaFlag,Gender
ServiceConnectedFlag,Gender
PC5,Gender
TBI,Gender
PTSD,Gender
Gender,Age_group
MaritalStatus,Age_group
Ethnicity,Age_group
Race,Age_group
Religion,Age_group
CombatFlag,Age_group
AgentOrangeFlag,Age_group
IonizingRadiationFlag,Age_group
SWAsiaConditionsFlag,Age_group
MilitarySexualTraumaFlag,Age_group
ServiceConnectedFlag,Age_group
PC5,Age_group
TBI,Age_group
PTSD,Age_group
Gender,Race
MaritalStatus,Race
Ethnicity,Race
Age_group,Race
Religion,Race
CombatFlag,Race
AgentOrangeFlag,Race
IonizingRadiationFlag,Race
SWAsiaConditionsFlag,Race
MilitarySexualTraumaFlag,Race
ServiceConnectedFlag,Race
PC5,Race
TBI,Race
PTSD,Race
Gender,Ethnicity
MaritalStatus,Ethnicity
Race,Ethnicity
Age_group,Ethnicity
Religion,Ethnicity
CombatFlag,Ethnicity
AgentOrangeFlag,Ethnicity
IonizingRadiationFlag,Ethnicity
SWAsiaConditionsFlag,Ethnicity
MilitarySexualTraumaFlag,Ethnicity
ServiceConnectedFlag,Ethnicity
PC5,Ethnicity
TBI,Ethnicity
PTSD,Ethnicity
PTSD,CombatFlag
PTSD,AgentOrangeFlag
PTSD,IonizingRadiationFlag
PTSD,SWAsiaConditionsFlag
PTSD,MilitarySexualTraumaFlag
PTSD,ServiceConnectedFlag
PC5,MaritalStatus
PC5,Religion
PC5,CombatFlag
PC5,AgentOrangeFlag
PC5,IonizingRadiationFlag
PC5,SWAsiaConditionsFlag
PC5,MilitarySexualTraumaFlag
PC5,ServiceConnectedFlag
PC5,PC5
PC5,TBI
PC5,PTSD
PTSD,TBI
